brand;model;vin;motoType;releaseDate;factoryPrice;retailPrice;capacity;power;torque;compression;weight;fuelConsumption;tankCapacity
HONDA;CBR-1000RR-R;VJT-1000-II-RR;SUPERSPORT;2023-01-01;1850000;2310000;1000;218;113;13.2:1;201;6.3;16.1
HONDA;CBR650R;VJT-650-II-R;SPORT;2022-08-25;1550000;1935000;649;95;63;11.6:1;208;4.9;15.4
HONDA;CBR400R;VJT-400-II-R;SPORT;2024-11-11;1350000;1540000;399;44.9;37;11.0:1;194;3.6;16
HONDA;CBR350RS;VJT-350-II-RS;CLASSIC;2023-03-23;1780000;2110000;348;21;30;9.5:1;179;2.1;15
HONDA;NT1100;VJT-1100-II;SPORTTOURIST;2023-03-23;2830000;3570000;1084;102;104;10.1:1;248;5;20.4
TRIUMPH;T120;LSK-120-Q;CLASSIC;2024-09-09;1300000;1500000;1200;80;105;10.0:1;236;4.7;14.5











